 NUMBER OF NODES FOR CONCRETE                 402
 NUMBER OF NODES FOR STEEL+SHEET                0
 TOTAL NUMBER OF NODES                        402
 NUMBER OF ELEMENTS FOR CONCRETE              203
 NUMBER OF ELEMENTS FOR STEEL+SHEET             0
 TOTAL NUMBER OF ELEMENTS                     203
 TOTAL NUMBER OF MATERIAL                       5
 NUMBER OF STEEL BARS AND SHEET                 0
 NUMBER OF ELEMENTS FOR STEEL                   0
 NUMBER OF ELEMENTS FOR FRP SHEET               0
 NUMBER OF ELEMENTS FOR TENSION STEEL           0
 NUMBER OF ELEMENTS FOR COMPRESSION STEEL           0
 NUMBER OF ELEMENTS FOR STIRUP STEEL           0
 NUMBER OF ELEMENTS FOR LOWER FRP SHEET           0
 NUMBER OF ELEMENTS FOR UPPER FRP SHEET           0
 NUMBER OF BOND ELEMENTS FOR STEEL                   0
 NUMBER OF BOND ELEMENTS FOR FRP SHEET               0
 NUMBER OF BOND ELEMENTS FOR TENSION STEEL           0
 NUMBER OF BOND ELEMENTS FOR COMPRESSIONSTEEL           0
 NUMBER OF BOND ELEMENTS FOR STIRUP STEEL           0
 NUMBER OF BOND ELEMENTS FOR LOWER FRP SHEET           0
 NUMBER OF BOND ELEMENTS FOR UPPER FRP SHEET           0
  ***************KH********************  
 NUMBER OF SPRINGS FOR CONCRETE              518
 NUMBER OF SPRINGS FOR STEEL AND FRP           0
 NUMBER OF SPRINGS FOR BOND                    0
  ***************KH********************  
  COORDINATES OF NODAL POINTS  
   NOD     X      Y
    1   24.3766  142.5159
    2    0.0000  184.2018
    3    0.0000  117.3661
    4  160.3685   71.3131
    5  162.4710  111.5354
    6   43.7672  142.5696
    7  356.8664   38.5716
    8  382.7066    0.0000
    9   47.0875   49.5224
   10   39.2734   94.8608
   11   44.2654   46.7933
   12   89.7785  145.2522
   13   79.8918  157.0032
   14   78.5508   60.3439
   15  189.4395   49.1215
   16  184.8188   58.2137
   17  181.1885   23.9143
   18   64.2517  118.0014
   19   59.5940  117.8212
   20  300.6274   45.4432
   21  299.4705   82.2601
   22   71.4613  114.0583
   23  105.8965   85.1678
   24  113.2273  129.0349
   25  111.5517  143.4568
   26  123.4292  158.3789
   27  150.9990  161.3666
   28  157.4230  200.0000
   29  376.4237   69.2585
   30  340.5280  102.2135
   31  352.9303   42.7957
   32   87.2263   26.4220
   33  121.9033   23.9304
   34  148.9059   65.7870
   35  122.8027   63.9567
   36  607.1086   43.9996
   37  583.8604   32.4096
   38  148.6499   25.2436
   39  122.1879   23.5749
   40  154.4411   27.3235
   41  292.3067   40.0285
   42  308.9176    0.0000
   43  195.5616  166.1808
   44  199.1103  103.3676
   45  163.4863  112.5621
   46  204.2495   93.1583
   47  276.8667   34.7481
   48  257.9973    0.0000
   49  221.4664   49.9743
   50  270.2765   41.0811
   51  263.5312  169.6848
   52  289.7412  200.0000
   53  616.9963   64.3161
   54  236.7349  183.0494
   55  201.9097  159.9785
   56  204.2226   96.2495
   57  244.9286  103.5713
   58  729.6207   40.1650
   59  717.9835    0.0000
   60  216.1917  139.6593
   61  255.9846  127.8229
   62  233.8422   60.8216
   63  450.1915   40.9131
   64  408.2265   35.6608
   65  265.6357   77.3363
   66  246.0342   84.4299
   67  421.7898   77.9466
   68  426.8262   82.1821
   69  299.8691  156.2119
   70  431.0623   96.4923
   71  414.3990  166.5357
   72  420.8669  200.0000
   73  330.2346  119.9928
   74  295.5969  134.2667
   75  302.0559  159.4086
   76  338.8824  166.8515
   77  402.2694  161.2758
   78  348.5347  200.0000
   79  404.3219    0.0000
   80  340.5602   43.6143
   81  330.8309   40.0266
   82  336.5065  102.9852
   83  333.7091  105.0056
   84  614.1116    0.0000
   85 1189.3385   74.9991
   86 1199.6830   87.5895
   87 1210.4567   36.5765
   88  406.7703   43.0110
   89  399.9209   77.2592
   90  411.8205  163.5919
   91  566.9189   20.4998
   92  565.6097    0.0000
   93 1422.0308   82.4937
   94 1430.6671  110.5391
   95  407.2310   74.1905
   96  387.9992  107.5462
   97  419.8511  125.0432
   98  831.0618   44.2482
   99  816.9460   80.3885
  100  516.1649   29.1202
  101  518.5500    0.0000
  102 1211.6206   35.9026
  103 1192.9460    0.0000
  104  458.9750  124.4804
  105  422.3962  137.1624
  106  416.3399  166.2411
  107  840.6024   39.9261
  108  859.6504   36.0998
  109  651.3749   90.3259
  110  679.3123   64.9262
  111  483.1419   77.7439
  112 1423.8383   30.2458
  113 1441.7817   48.2349
  114  659.5459   46.9297
  115  655.7551   46.4238
  116  460.8851  121.8505
  117  478.3550  115.8226
  118  456.5719  153.8147
  119  474.6658  167.1527
  120  510.9510   30.5472
  121  480.5024    0.0000
  122  649.2906  106.3565
  123  523.7974  142.9409
  124  479.1558  177.0825
  125  504.9925   85.6385
  126  486.2686   83.1021
  127  534.1462  107.5636
  128  526.6664   33.5732
  129  535.6645   61.1803
  130  639.4338   21.7774
  131  640.0312    0.0000
  132  542.0255  171.0407
  133  561.5497  200.0000
  134  640.5709   62.2649
  135  570.7646  137.2840
  136  600.6340  148.9171
  137  786.9692   77.4462
  138  777.0410   79.0504
  139  790.3165   44.8667
  140  630.2188  166.0269
  141  633.9015  200.0000
  142  581.7880   32.4403
  143  565.7123   86.9531
  144  603.8804   94.6750
  145  681.9254   25.5190
  146  678.7043    0.0000
  147  619.7112  156.9392
  148  601.0382  149.6501
  149 1082.2490   41.8247
  150 1082.8192   37.9831
  151  803.4338   27.2579
  152  793.7368    0.0000
  153  675.7451  148.5804
  154  778.7534  165.5972
  155  795.8182  200.0000
  156 1082.9091   43.3360
  157  683.6168   66.2377
  158  716.8071   54.7534
  159  685.9573  119.3658
  160  768.0980  162.0786
  161  744.1105  200.0000
  162  692.8760  167.4127
  163  687.2634  167.2307
  164  728.6017  134.7938
  165  720.5638  171.8649
  166  718.4445   62.8692
  167  753.6003  104.7925
  168 1047.3539    0.0000
  169  741.2975   40.0139
  170  898.7537   37.0068
  171  908.7997   23.8368
  172  910.8405   64.1201
  173  754.0552   30.6751
  174  896.6436   83.2144
  175  912.5679  108.9997
  176  796.2014  127.2727
  177  776.0275  131.7371
  178  801.2213   81.9361
  179  872.8174   82.1989
  180  827.4280  162.0914
  181 1011.5148   25.5883
  182 1018.3320   41.7172
  183  818.5375  137.6214
  184  821.3037   83.8555
  185  823.6108    0.0000
  186 1344.4355  115.0698
  187 1335.6724  100.7252
  188 1103.9474  197.8353
  189 1103.9490  200.0000
  190  843.6667  158.7039
  191  864.6674  200.0000
  192  833.4582  156.6938
  193 1298.5039  133.0538
  194  856.0781  153.1139
  195  860.7280   92.7758
  196  848.7678   94.1493
  197  869.7642  118.6393
  198  895.9355  123.8047
  199  935.3634  153.8580
  200  928.7327  200.0000
  201 1304.3062  158.0899
  202  861.2090   34.2272
  203 1016.6831    0.0000
  204  894.5508  157.8165
  205  928.8917  114.6302
  206 1026.2579  153.8971
  207  984.3060  200.0000
  208  942.6845   59.8839
  209 1142.5061   29.5021
  210 1165.0502   15.0871
  211  999.9115  142.9355
  212  983.3953  154.1881
  213  938.0482  128.8808
  214  962.8870  122.6942
  215  936.3069  152.9472
  216  973.9421  166.7205
  217  971.4142   36.1432
  218  948.4174   38.8545
  219  986.6249   28.5120
  220  961.2928    0.0000
  221 1336.9667   71.4710
  222 1328.8074   71.2462
  223 1050.1729   43.0598
  224  986.0229   73.6945
  225 1010.7838   75.9817
  226 1046.3278  173.0905
  227 1038.3151  200.0000
  228  992.8538  115.4017
  229 1010.9545   92.1664
  230 1024.8254  150.8846
  231 1311.9396   23.4681
  232 1312.9399    0.0000
  233 1289.8953   47.0654
  234 1047.0698   79.9364
  235 1011.1452   75.5150
  236 1103.5067    3.6777
  237 1103.7688    0.0000
  238 1240.9801   61.2909
  239 1277.1649   73.9994
  240 1287.4756   56.8774
